id,hoard_id,title,ex_start_date,ex_end_date,buried,b_start_date,b_end_date,contents,notes,location_uri
145,"ch2,13","Babes, Olympia, Greece",1958-60,,480 s.c,-480,-480,25 AR,,https://pleiades.stoa.org/places/570531
146,"ch2,14","Enisala, Constanta, Romania",1962,,5th. cent.B.c.,-500,-401,118 AE pot hoard.,,https://www.geonames.org/678568
147,"ch2,15","Constanta (ane.Tomi), Romania",1973,,5th. cent.B.c.,-500,-401,82 AE pot hoard in excavations.,,https://www.geonames.org/680963
148,"ch2,16","Megara Hyblaea, Sicily",1889,,Before 482 B.C.?,-532,-482,2 AE in grave,,https://www.geonames.org/8063661
149,"ch2,17","Asyut, Egypt",1968/9,,475 B.C,-475,-475,900AR,,https://www.geonames.org/359783
150,"ch2,18",Lycia,1970,,470B.C.,-470,-470,13+ AR,,https://pleiades.stoa.org/places/638965
151,"ch2,19","Grotteria, Calabria, Italy",1913,,5th. cent.B.c.,-500,-401,22 AR,,https://www.geonames.org/2524560
152,"ch2,20","Eretria, Greece",1973,,5th. Cent.B.C,-500,-401,AR found in excavations,,https://www.geonames.org/262628
153,"ch2,21",Turkey,,,5th. Cent B.C.,-500,-401,13 + AR,,https://www.geonames.org/298795
154,"ch2,22","Pyrgi, Caere, Etruria",1957,,5th. Cent.B.C.?,-500,-401,9 AR,,https://www.geonames.org/255188
155,"ch2,23","N.W. Turkey,",,,5th.cent. B.C.?,-499,-400,5 + EL,,https://www.geonames.org/10922497
156,"ch2,24","Eirini, Paros, Greece",,,470 B.C,-470,-470,600 AR,,https://pleiades.stoa.org/places/599867
157,"ch2,25","Nymphaeum, Crimea, Russia",1949,,Mid 5th.cenLB.C.,-475,-425,17 AR,,https://www.geonames.org/708843
158,"ch2,26",Asia Minor,1975,,450-425,-450,-425,350 + AR,,https://pleiades.stoa.org/places/837
159,"ch2,27",Lycia,1970,,440-430 B.C,-440,-430,8 + AR,,https://pleiades.stoa.org/places/638965
160,"ch2,28","Larnaca, Cyprus",,,425 B.C,-425,-425,17 + AR,,https://www.geonames.org/146400
161,"ch2,29","Selinunte, Sicily",1974?,,425 B.C,-425,-425,10 + AE,,https://www.geonames.org/2523164
162,"ch2,30","Himera, Sicily",1969,,420 B.C,-420,-420,48 AE,,https://www.geonames.org/2524519
164,"ch2,32",Asia Minor,1975,,400 B.C. or later,-400,-300,67 + AR,,https://pleiades.stoa.org/places/837
166,"ch2,34",Caulonia,1915,,389 B.C.,-389,-389,,,https://www.geonames.org/2525053
167,"ch2,35","Abdera, Greece",1971,,375-350,-375,-350,AR 20,,https://www.geonames.org/736675
168,"ch2,36","Cilicia, Turkey",1966,,375 B.C.,-375,-375,53 + AR,,https://pleiades.stoa.org/places/658440
169,"ch2,37","Herat, Afghanistan",1972,,After 380 B.C.,-380,-330,2 + AR,,https://www.geonames.org/1140026
170,"ch2,38",Asia Minor,1974,,4th cent.B.C.,-400,-301,154 + AR,,https://pleiades.stoa.org/places/837
171,"ch2,39",Lebanon,1970,,350 B.C,-350,-350,50+AR,,https://www.geonames.org/272103
172,"ch2,40",Turkey,1975,,350 B.C.,-350,-350,10+AR,,https://www.geonames.org/298795
174,"ch2,42",Greece,1949,,350-325 s.c,-350,-325,25 + AR,,https://www.geonames.org/390903
175,"ch2,43","Athienou, Cyprus",,,332 B.C,-332,-332,2 + AR,,https://www.geonames.org/146768
176,"ch2,44","Enisala, Constanta, Romania",1973,,330 B.C.,-330,-330,37 AR pot hoard.,,https://www.geonames.org/678568
177,"ch2,45",Afghanistan,before 1972,,Later 4th.cent.B.C.,-325,-300,8 + AR,,https://www.geonames.org/1149361
178,"ch2,46",Italy ?,,,4th. cent. B.C.,-400,-301,10 + AR,,https://www.geonames.org/3175395
179,"ch2,47",The East,,,4th.cent.B.C.,-400,-301,25 + AR,,https://mapoflondon.uvic.ca/STDU2.htm
180,"ch2,48","Tel Gamma, South of Gaza, Israel",1970,,350-330 B.C,-350,-330,5 AR,,https://www.geonames.org/293380
182,"ch2,50",Balkans,1967,,325 B.C.,-325,-325,29+ AU,,https://www.geonames.org/685608
183,"ch2,51",Thessaly,1972,,323-320 BC,-323,-320,9 + AR,,https://www.geonames.org/6697809
185,"ch2,53","Pelin, Romania",,,320 B.C.?,-320,-320,206 AE,,
186,"ch2,54","Byblos, Phoenicia",1971,,310 B.C,-310,-310,22 + AR,,https://www.geonames.org/273203
187,"ch2,55","Kuft, Egypt",1874/5,,305-300 B.C,-305,-300,438+ AR,,https://www.geonames.org/350560
189,"ch2,57","Near Thessalonica, Greece",late 1960's,,Late 4th.cent.B.C.,-325,-300,80+ AE,,https://www.geonames.org/734077
190,"ch2,58","Paphos, Cyprus",1957,,Late 4th.cent.B.C.,-325,-300,AR,,https://www.geonames.org/146214
191,"ch2,59","Carla?, Turkey",1965,,300B.C.,-300,-300,129 AE,,https://pleiades.stoa.org/places/991381
192,"ch2,60",Asia Minor,1970's,,300 B. C. or later,-300,-200,22+ AR,,https://pleiades.stoa.org/places/837
193,"ch2,61","Mycenae, Greece",1939,,Late 4th cent.It.C. or later,-325,-275,9 AR,,https://www.geonames.org/257058
194,"ch2,62","Thorikos, Attica, Greece",1969,,"295 s.c,",-295,-295,5 AU 297 AR,,https://www.geonames.org/252894
195,"ch2,63","Calanna, Calabria, Italy",1935,,280 s.c,-280,-280,13+ AR,,https://pleiades.stoa.org/places/452280
196,"ch2,64","Gerace Superiore, Calabria, Italy",1940,,280 B.C,-280,-280,5+ AR,,https://pleiades.stoa.org/places/442518
197,"ch2,65","Batasni, vileea, Romania,",1971,,280 B.C,-280,-280,457 AR pot hoard,,https://www.geonames.org/662892
199,"ch2,67","Near Cheronesus, Russia",,,Early 3rd.cent,-300,-275,61+ AE,,https://www.geonames.org/706445
200,"ch2,68","Upk (anc.Temenothyrae), TUrkey",1966,,255-0 B.C.,-255,-250,112+ AR,,https://www.geonames.org/298299
201,"ch2,69","Nuba, Hebron, Israel",1975,,255-0 n.c,-255,-250,5+ AR,,https://www.geonames.org/282510
202,"ch2,70","Near Hamadan, Syria,",1975,,Mid. 3rd.cent.B.c.,-275,-225,40+ AU,,
203,"ch2,71","Montegiordano, Calabria, Italy",1969,,Mid 3rd.cenI.B.C.,-275,-225,23 AR I AE,,https://pleiades.stoa.org/places/452384
204,"ch2,72","Thessaly, Greece",1974,,250-225 B.C,-250,-225,38+ AR,,https://www.geonames.org/6697809
205,"ch2,73",Asia Minor,1971,,230 B.c.,-230,-230,6+ AR tetr.,,https://pleiades.stoa.org/places/837
206,"ch2,74",Western Greece,1973?,,3rd.cenI.B.C. ?,-300,-201,75+ AR,,https://geo-kima.org/place/4074
207,"ch2,75","Atalanti, Greece",1975,,3rd.cent.B.C. ?,-300,-201,AR,,https://pleiades.stoa.org/places/540986
208,"ch2,76",Sardinia,1948,,Late 3rd.cent.B.C.,-225,-200,340+ AE,,https://www.geonames.org/2523227
209,"ch2,77","Castelfranco, Emilia, Italy",,,Late 3rd.cent.B.c.,-225,-200,,,https://www.geonames.org/3179686
210,"ch2,78","Madinat 'Arnoud, Sa'adah, Yemen",1975,,Late 3rd.cent.B.C. ?,-225,-200,70 AR pot hoard,,https://pleiades.stoa.org/places/282851782
211,"ch2,79","Corinth, Greece",1973,,Late 3rd.cent.B.c.,-225,-200,5 AE in excavations,,https://www.geonames.org/259289
212,"ch2,80",Patrae ? Greece,1970,,2nd.cent.B.C,-199,-100,17+ AR,,https://www.geonames.org/255683
213,"ch2,81",Syria,1971,,190B.C,-190,-190,90AR,,https://www.geonames.org/163843
214,"ch2,82",Afghanistan?,,,Early 2nd.cent.B.C.,-200,-175,12+ AE,,https://www.geonames.org/1149361
215,"ch2,83",Syria,1971,,175 B.C,-175,-175,9+ AR,,https://www.geonames.org/163843
216,"ch2,84",Rhodes,1968,,175 B.C.,-175,-175,110 AR 3 AE,,https://www.geonames.org/400666
217,"ch2,85","Galaxeidion, Locris, Greece",1967/8,,168 BiC,-168,-168,60 AE found in a shipwreck.,,https://www.geonames.org/262133
219,"ch2,87","Kukes, Albania",1971,,168 B.C,-168,-168,8 AE from a tumulus,,https://www.geonames.org/865735
220,"ch2,88","Balkh, Afghanistan",1974,,150B.C,-150,-150,150+AR,,https://www.geonames.org/1147290
221,"ch2,89","Trabzon, Turkey",1970,,150 B.C,-150,-150,150 + AR,,https://www.geonames.org/738647
223,"ch2,91",Greece,1974?,,2nd cent.B.c.,-199,-100,12+ AR,,https://www.geonames.org/390903
224,"ch2,92",Samothrace,1974,,2nd.cent.B.c.,-199,-100,3+ AE,,https://www.geonames.org/734358
225,"ch2,93",Jugoslavia/Bulgaria border,1974,,2nd.cent.B.c.,-199,-100,40+ AE,,https://en.wikipedia.org/wiki/Yugozapaden_Planning_Region
226,"ch2,94",Ionia,1974,,Mid.2nd.cent.B.C.,-175,-125,50 + AR,,https://pleiades.stoa.org/places/550597
227,"ch2,95","Akken, Lebanon",1974/5,,150-125 B.C,-150,-125,400 AR,,https://www.geonames.org/174110
228,"ch2,96","Paestum, Italy",,,Late 2nd.cent.B.C.,-125,-100,22+ AE,,https://www.geonames.org/3171709
229,"ch2,97","Souvorovo, Varna, Bulgaria",1942,,Late 2nd.cent.B.c.?,-125,-100,89AE,,https://www.geonames.org/726590
230,"ch2,98","Rudnik, Bulgaria",1974/5,,Late 2nd.-early I st cent. B.C.,-125,-75,124 AR,,
231,"ch2,99","S'branovo, Bulgaria",,,Late 2nd.-early Ist.cent.B.C.,-125,-75,35 AR,,https://www.geonames.org/6460565
232,"ch2,100","Belciugatele, Ilfov, Romania",1964,,Late 2nd.-early Ist.cent.B.c. 2,-125,-75,25 AR POLhoard,,https://www.geonames.org/685155
233,"ch2,101","Poiana, Teleorman, Romania",1971,,100 B.C,-100,-100,146 AR,,https://www.geonames.org/670021
234,"ch2,102","Stoina, Gorj, Romania",1973,,100 B.C.,-100,-100,30+ AR,,https://www.geonames.org/666047
235,"ch2,103","Frasinet , Romania",1970,,100 B.C,-100,-100,29+ AR,,https://www.geonames.org/677955
236,"ch2,104","Bucharest, Romania",1971,,Early 1st cent.B.C.,-100,-75,94 AR POl hoard.,,https://www.geonames.org/683506
237,"ch2,105",Rhodes ?,1975,,Early l st.cent.BiC,-100,-75,34+ AR,,https://www.geonames.org/400666
238,"ch2,106","Paphos, Cyprus,",1964,,95 B.C.,-95,-95,2484 AR,,https://www.geonames.org/146214
239,"ch2,107",Cyprus,1948/9,,Early lsLcenLB.C.,-100,-75,AR,Two hoards of Ptolemaic tetr. No details; possibly the same hoard.,https://www.geonames.org/146669
240,"ch2,108","Pergamos, Cyprus",1968,,Early 1st cenLB.C,-100,-75,AR,mainly of Cypriote mints,https://www.geonames.org/146189
241,"ch2,109",Cyprus,1975,,Early Ist.cent. B.C.?,-100,-75,8+ AR,,https://www.geonames.org/146669
242,"ch2,110","Cesme, Smyrna, Turkey",1960,,burial dated 86 B.C.,-86,-86,,,https://www.geonames.org/318755
243,"ch2,111","Peiraeus, Greece,",1926,,85 B.C. or later,-85,-30,1716 AE,,https://www.geonames.org/255274
244,"ch2,112",Turkey,1975,,85 B.C,-85,-85,AR,,https://www.geonames.org/298795
245,"ch2,113","Giresun, Turkey",1933,,77 b.c,-77,-77,,,https://www.geonames.org/746881
247,"ch2,115","~onra, Bac'iiu, Romania",1957,,Early lst cent.B.C.,-100,-75,,,https://www.geonames.org/662924
248,"ch2,116","Danen, DOlj, Romania,",1970,,1Sl.cenI.B.C,-99,0,20 AR,,https://www.geonames.org/679749
249,"ch2,117",Afghanistan,,,Ist.cent.B.c.,-100,0,81+ AR,,https://www.geonames.org/1149361
250,"ch2,118","Ai Khanoum, Afghanistan",1970,,ISl.cent.B.C. after an earlier deposit c.170 B.C,-100,0,669 AR,,https://www.geonames.org/1147929
251,"ch2,119","lUa Pedrosa, L'Estarlit, Spain,",1964-9,,Early Ist.cent.B.c.,-100,-75,16 AE from the sea,,https://www.geonames.org/3122776
252,"ch2,120","Salamanca, Spain",1973,,80 B.C,-80,-80,30 AR,,https://www.geonames.org/3111108
253,"ch2,121",Damascus,1968,,75 B.C.,-75,-75,5+ AE,,https://www.geonames.org/170654
254,"ch2,122","Alagon, Spain",1970,,70 B.C,-70,-70,125 AR,,https://pleiades.stoa.org/places/246158
255,"ch2,123","Batgarevo, N E Bulgaria",1968,,Mid.lst.cent.B.C.,-75,-25,4 AU 4AE,,https://www.geonames.org/8604898
256,"ch2,124","Tepebaglar], Cappadocia, Turkey,",,,Mid.lst.cent.B.C.,-75,-25,26+ AR,,https://www.geonames.org/440996
258,"ch2,126",Eastern Iran,1968,,Mid.lst cent.B.C,-75,-25,57+ AR,,https://www.geonames.org/130758
259,"ch2,127",Rhodes?,1975,,Late Ist.cent.B.C.,-25,0,12+ AR,,https://www.geonames.org/400666
